Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Brooklyn,FRANKLIN AVENUE,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,3,22,3,1,3,32
Brooklyn,FRANKLIN AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,1,10,2,1,8,22
Brooklyn,FULTON STREET,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,GATES AVENUE,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,5,1,0,0,6
Brooklyn,GRAHAM AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,1,5,3,1,8,18
Brooklyn,GRAND ARMY PLAZA,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,GRAND STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,2,0,0,5
Brooklyn,GRANT AVENUE,A,A,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,1,0,2
Brooklyn,GREENPOINT AVENUE,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,2,0,0,3
Brooklyn,HALSEY STREET,J,J,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Brooklyn,HALSEY STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,1,5,2,0,4,12
Brooklyn,HIGH STREET,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,0,3
Brooklyn,HOYT STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,4,2,0,1,7
Brooklyn,HOYT-SCHERMERHORN,"A,C,G",A,C,G,NA,NA,NA,NA,2018,1,1,5,52,24,4,11,97
Brooklyn,JAY STREET-BOROUGH HALL,"A,C,F",A,C,F,NA,NA,NA,NA,2018,1,2,48,151,76,36,57,370
Brooklyn,JEFFERSON STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,8,0,6,16
Brooklyn,JUNIUS STREET,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,14,5,0,0,19
Brooklyn,KINGS HIGHWAY,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,7,17,17,5,50,96
Brooklyn,KINGS HIGHWAY,F,F,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,KINGSTON AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,KINGSTON-THROOP AVENUES,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,1,1,3,10
Brooklyn,KOSCIUSKO STREET,J,J,NA,NA,NA,NA,NA,NA,2018,1,0,1,6,4,0,0,11
Brooklyn,LAFAYETTE AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,6,3,0,0,9
Brooklyn,LIBERTY AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,LIVONIA AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,23,5,0,2,30
Brooklyn,LORIMER STREET,"J,M",J,M,NA,NA,NA,NA,NA,2018,1,0,1,0,0,0,0,1
Brooklyn,LORIMER STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,1,3,3,0,11,18
Brooklyn,MARCY AVENUE,"J,M,Z",J,M,Z,NA,NA,NA,NA,2018,1,0,1,10,9,2,15,37
Brooklyn,METROPOLITAN AVENUE,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,1,0,3,5
Brooklyn,MONTROSE AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,0,0,3,8
Brooklyn,MORGAN AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,3,7,8,2,14,34
Brooklyn,MYRTLE AVENUE,"J,M,Z",J,M,Z,NA,NA,NA,NA,2018,1,0,0,5,2,0,0,7
Brooklyn,MYRTLE/WYCKOFF AVENUES,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,4,19,24,1,15,63
Brooklyn,MYRTLE-WILLOUGHBY AVENUES,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,4,1,9,19
Brooklyn,"NASSAU AVENUE",G,G,NA,NA,NA,NA,NA,NA,2018,1,0,1,1,3,1,8,14
Brooklyn,NECK ROAD,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,1,2,3
Brooklyn,NEPTUNE AVENUE,F,F,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,NEVINS STREET,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,0,34,7,0,1,42
Brooklyn,NEW LOTS AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,1,3
Brooklyn,NEW LOTS AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,NEWKIRK AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,2,5
Brooklyn,NEWKIRK AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,1,0,8,5,0,4,18
Brooklyn,NORWOOD AVENUE,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,NOSTRAND AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,NOSTRAND AVENUE,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,3,39,12,2,12,68
Brooklyn,OCEAN PKWY,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,1,1,0,0,5,7
Brooklyn,PACIFIC STREET,"D,N,R",D,N,R,NA,NA,NA,NA,2018,1,0,0,5,3,1,3,12
Brooklyn,PARKSIDE AVENUE,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,1,3
Brooklyn,PRESIDENT STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,PROSPECT PARK,"B,Q,S",B,Q,S,NA,NA,NA,NA,2018,1,0,0,25,0,2,2,29
Brooklyn,RALPH AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,8,1,0,0,9
Brooklyn,ROCKAWAY AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,20,3,0,0,23
Brooklyn,ROCKAWAY PKWY-CANARSIE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,39,6,0,2,47
Brooklyn,SARATOGA AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,8,1,0,1,10
Brooklyn,SENECA AVENUE,M,M,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,0,0,0,1
Brooklyn,SHEEPSHEAD BAY,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,1,6,11,11,2,27,58
Brooklyn,SMITH-9 STREETS,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,5,7,2,6,20
Brooklyn,STILLWELL AVENUE-CONEY ISLAND,"D,F,N,Q",D,F,N,Q,NA,NA,NA,2018,1,1,5,40,18,4,25,93
Brooklyn,SUTTER AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,4,0,1,9
Brooklyn,SUTTER AVENUE-RUTLAND ROAD,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,1,16,3,2,1,23
Brooklyn,UNION STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,UTICA AVE.-CROWN HEIGHTS,"3,4",3,4,NA,NA,NA,NA,NA,2018,1,0,0,90,23,3,7,123
Brooklyn,UTICA AVENUE,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,1,32,4,1,4,42
Brooklyn,VAN SICLEN AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,6,0,0,0,6
Brooklyn,VAN SICLEN AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,6,1,0,0,7
Brooklyn,VAN SICLEN AVENUE,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,0,2,0,0,2
Brooklyn,WEST 8 STREET-NY AQUARIUM,"Q,F",Q,F,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,1,2
Brooklyn,WILSON AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
